,Athenes,Budapest,Copenhagen,Frankfurt,Helsinki,Kiev,London,Madrid,Moscow
Athenes,0,1125,2142,1818,2493,1481,2394,2380,2234
Budapest,1125,0,1018,836,1481,882,1468,1976,1564
Copenhagen,2142,1018,0,679,893,1320,959,2061,1558
Frankfurt,1818,836,679,0,1528,1553,633,1423,2035
Helsinki,2493,1481,893,1528,0,1155,1830,2950,901
Kiev,1481,882,1320,1553,1155,0,2131,2846,757
London,2394,1468,959,633,1830,2131,0,1255,2501
Madrid,2380,1976,2061,1423,2950,2846,1255,0,3431
Moscow,2234,1564,1558,2035,901,757,2501,3431,0
